x,y,z,nx,ny,nz
-3.5376 , 0.639553 , -1.37678 , -0.060181,0.173729,0.982953
-3.70695 , 0.66904 , -1.38125 , -0.0626123,0.160174,0.985101
-3.94686 , 0.705947 , -1.41908 , -0.0976163,0.166735,0.981158
-4.1806 , 0.744893 , -1.44477 , -0.0784408,0.157429,0.98441
-4.4161 , 0.784772 , -1.463 , -0.0725446,0.160107,0.98443
-4.70664 , 0.831313 , -1.49967 , -0.0670886,0.157903,0.985173
-5.00006 , 0.879487 , -1.52686 , 0.0957914,-0.162661,-0.982021
-5.39542 , 0.941408 , -1.58932 , -0.101123,0.170577,0.980142
-5.79491 , 1.00601 , -1.63871 , 0.0732289,-0.166511,-0.983317
-6.18709 , 1.07131 , -1.67095 , -0.0791607,0.163702,0.983329
-6.71279 , 1.15567 , -1.74048 , -0.0879112,0.159616,0.983257
-7.25076 , 1.24392 , -1.79576 , -0.0868382,0.160392,0.983226
-7.93297 , 1.35316 , -1.88164 , -0.093464,0.151249,0.984067
-8.67705 , 1.47447 , -1.96303 , -0.0854969,0.152165,0.98465
-9.57677 , 1.62141 , -2.06632 , -0.0799285,0.154929,0.984687
-10.5859 , 1.78721 , -2.16888 , -0.074619,0.15217,0.985534
-11.8598 , 1.99545 , -2.30721 , -0.0867539,0.146827,0.985351
-13.3608 , 2.2428 , -2.45753 , -0.0827772,0.143029,0.986251
-15.4283 , 2.58044 , -2.6873 , 0.0809063,-0.138219,-0.987092
-38.5584 , 6.34831 , -5.28178 , 0.00900988,0.0803953,0.996722
-37.2452 , 6.25228 , -4.39823 , -0.0437685,0.0813806,0.995722
-12.9643 , 2.99068 , 2.65653 , -0.0133044,0.38658,0.92216
-13.4139 , 3.12087 , 2.95988 , 0.0883472,0.238177,0.967195
-9.20758 , 2.29478 , 2.55445 , 0.10192,0.116325,0.987968
-8.82818 , 2.24355 , 2.66459 , -0.340129,0.0884919,0.936206
-8.68759 , 2.24164 , 2.80819 , 0.418616,-0.248391,-0.873535
-8.44078 , 2.21527 , 2.92535 , -0.396641,0.170746,0.901954
-8.25898 , 2.20233 , 3.04985 , -0.504488,0.144277,0.851279
-8.00964 , 2.17434 , 3.15205 , -0.150985,0.291481,0.944586
-3.99202 , 1.30138 , 2.23938 , -0.870361,0.455486,0.187096
-3.93962 , 1.30316 , 2.31062 , -0.713415,0.510021,0.480539
-4.97006 , 1.55345 , 2.71162 , -0.285023,-0.932145,0.223312
-4.89081 , 1.55175 , 2.79305 , -0.285023,-0.932145,0.223312
-8.10492 , 2.3283 , 4.00865 , -0.929065,0.362877,0.07183
-8.02913 , 2.33753 , 4.15386 , -0.929065,0.362877,0.0718299
