x,y,z,nx,ny,nz
-1.7379088159807159e+00 , 1.9209515712549907e+00 , 5.6814880000000012e-01 , -6.0180999999999998e-02 , 1.7372899999999999e-01 , 9.8295299999999997e-01
-1.9166145509958672e+00 , 1.9160163261460781e+00 , 5.6349999999999989e-01 , -6.2612299999999996e-02 , 1.6017400000000001e-01 , 9.8510100000000000e-01
-2.1687730151446747e+00 , 1.9040652265049156e+00 , 5.2415680000000009e-01 , -9.7616300000000003e-02 , 1.6673499999999999e-01 , 9.8115799999999997e-01
-2.4150638783129006e+00 , 1.8954672382079054e+00 , 4.9743919999999986e-01 , -7.8440800000000005e-02 , 1.5742900000000001e-01 , 9.8441000000000001e-01
-2.6633414281702654e+00 , 1.8874565837696193e+00 , 4.7847999999999979e-01 , -7.2544600000000001e-02 , 1.6010700000000000e-01 , 9.8443000000000003e-01
-2.9690960335348144e+00 , 1.8748641506489359e+00 , 4.4034319999999982e-01 , -6.7088599999999998e-02 , 1.5790299999999999e-01 , 9.8517299999999997e-01
-3.2781235384111884e+00 , 1.8633411298191345e+00 , 4.1206559999999981e-01 , 9.5791399999999999e-02 , -1.6266100000000000e-01 , -9.8202100000000003e-01
-3.6938957012925613e+00 , 1.8447675576002416e+00 , 3.4710719999999995e-01 , -1.0112300000000000e-01 , 1.7057700000000001e-01 , 9.8014199999999996e-01
-4.1144313839139741e+00 , 1.8280733217067178e+00 , 2.9574159999999972e-01 , 7.3228900000000000e-02 , -1.6651099999999999e-01 , -9.8331700000000000e-01
-4.5276604264246183e+00 , 1.8136008994638164e+00 , 2.6221200000000011e-01 , -7.9160700000000001e-02 , 1.6370199999999999e-01 , 9.8332900000000001e-01
-5.0809204009303102e+00 , 1.7909683667438490e+00 , 1.8990079999999998e-01 , -8.7911199999999995e-02 , 1.5961600000000001e-01 , 9.8325700000000005e-01
-5.6474905456671838e+00 , 1.7697656117747864e+00 , 1.3240959999999991e-01 , -8.6838200000000004e-02 , 1.6039200000000001e-01 , 9.8322600000000004e-01
-6.3654169577429158e+00 , 1.7401550113285320e+00 , 4.3094399999999977e-02 , -9.3464000000000005e-02 , 1.5124899999999999e-01 , 9.8406700000000003e-01
-7.1488994141321278e+00 , 1.7100636522644614e+00 , -4.1551200000000232e-02 , -8.5496900000000001e-02 , 1.5216499999999999e-01 , 9.8465000000000003e-01
-8.0963165059297726e+00 , 1.6739384334153233e+00 , -1.4897280000000013e-01 , -7.9928500000000000e-02 , 1.5492900000000001e-01 , 9.8468699999999998e-01
-9.1591486251022367e+00 , 1.6344307645090148e+00 , -2.5563520000000040e-01 , -7.4619000000000005e-02 , 1.5217000000000000e-01 , 9.8553400000000002e-01
-1.0500621448657226e+01 , 1.5834751363256401e+00 , -3.9949840000000014e-01 , -8.6753899999999995e-02 , 1.4682700000000001e-01 , 9.8535099999999998e-01
-1.2081651072661561e+01 , 1.5254606109315103e+00 , -5.5583120000000052e-01 , -8.2777199999999995e-02 , 1.4302899999999999e-01 , 9.8625099999999999e-01
-1.4258752089699431e+01 , 1.4424278823719789e+00 , -7.9479200000000017e-01 , 8.0906300000000000e-02 , -1.3821900000000001e-01 , -9.8709199999999997e-01
-3.8613054179789863e+01 , 5.0385072953692567e-01 , -3.4930512000000009e+00 , 9.0098799999999996e-03 , 8.0395300000000003e-02 , 9.9672200000000000e-01
-3.7254708468098194e+01 , 6.7729857213610578e-01 , -2.5741592000000004e+00 , -4.3768500000000002e-02 , 8.1380599999999997e-02 , 9.9572200000000000e-01
-1.1832034870502557e+01 , 2.3696749761035054e+00 , 4.7627912000000006e+00 , -1.3304399999999999e-02 , 3.8657999999999998e-01 , 9.2215999999999998e-01
-1.2317197671819136e+01 , 2.4094790382129450e+00 , 5.0782752000000002e+00 , 8.8347200000000001e-02 , 2.3817700000000000e-01 , 9.6719500000000003e-01
-7.8591415808302045e+00 , 2.4365643616427959e+00 , 4.6566279999999995e+00 , 1.0192000000000000e-01 , 1.1632500000000000e-01 , 9.8796799999999996e-01
-7.4618458878026228e+00 , 2.4627373482964687e+00 , 4.7711736000000000e+00 , -3.4012900000000001e-01 , 8.8491899999999998e-02 , 9.3620599999999998e-01
-7.3181521884580825e+00 , 2.4898387021113817e+00 , 4.9205176000000002e+00 , 4.1861599999999999e-01 , -2.4839100000000000e-01 , -8.7353499999999995e-01
-7.0611378804348188e+00 , 2.5139554928622716e+00 , 5.0423640000000001e+00 , -3.9664100000000002e-01 , 1.7074600000000001e-01 , 9.0195400000000003e-01
-6.8731611200431111e+00 , 2.5383289565963993e+00 , 5.1718440000000001e+00 , -5.0448800000000005e-01 , 1.4427699999999999e-01 , 8.5127900000000001e-01
-6.6132333427517054e+00 , 2.5613172699201305e+00 , 5.2781320000000003e+00 , -1.5098500000000001e-01 , 2.9148099999999999e-01 , 9.4458600000000004e-01
-2.3378292607352247e+00 , 2.5016409851965560e+00 , 4.3289552000000002e+00 , -8.7036100000000005e-01 , 4.5548600000000000e-01 , 1.8709600000000001e-01
-2.2847873291743568e+00 , 2.5142819682964639e+00 , 4.4030448000000000e+00 , -7.1341500000000002e-01 , 5.1002099999999995e-01 , 4.8053899999999999e-01
-3.3867970705007986e+00 , 2.5564893683816217e+00 , 4.8200848000000001e+00 , -2.8502300000000003e-01 , -9.3214500000000000e-01 , 2.2331200000000001e-01
-3.3056687357782781e+00 , 2.5711309369161275e+00 , 4.9047720000000004e+00 , -2.8502300000000003e-01 , -9.3214500000000000e-01 , 2.2331200000000001e-01
-6.7421599314058636e+00 , 2.6985575798658656e+00 , 6.1689960000000008e+00 , -9.2906500000000003e-01 , 3.6287700000000001e-01 , 7.1830000000000005e-02
-6.6668165822740626e+00 , 2.7236248694840750e+00 , 6.3200143999999998e+00 , -9.2906500000000003e-01 , 3.6287700000000001e-01 , 7.1829900000000002e-02
-3.1639098637450580e+00 , 2.6182991000657445e+00 , 5.1849791999999999e+00 , 5.1643899999999998e-01 , 4.7778399999999999e-01 , -7.1064300000000002e-01
-3.0194083561148517e+00 , 2.6304746176168630e+00 , 5.2393712000000008e+00 , -6.6388899999999995e-01 , 4.1462500000000002e-01 , 6.2236499999999995e-01
-2.8942389663507848e+00 , 2.6421163970208550e+00 , 5.2974760000000005e+00 , 2.4065400000000001e-01 , -9.2400899999999997e-01 , -2.9714099999999999e-01
